# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
    11.973754   0.000000   0.000000   0.000000   1.000000   0.000000   0.86303E+02
    12.027367   0.000000   0.000000   0.000000   1.000000   0.000000   0.88537E+02
    12.080983   0.000000   0.000000   0.000000   1.000000   0.000000   0.90812E+02
    12.134602   0.000000   0.000000   0.000000   1.000000   0.000000   0.93125E+02
    12.188224   0.000000   0.000000   0.000000   1.000000   0.000000   0.95477E+02
    12.241849   0.000000   0.000000   0.000000   1.000000   0.000000   0.97873E+02
    12.295477   0.000000   0.000000   0.000000   1.000000   0.000000   0.10033E+03
    12.349107   0.000000   0.000000   0.000000   1.000000   0.000000   0.10289E+03
    12.402741   0.000000   0.000000   0.000000   1.000000   0.000000   0.10553E+03
    12.456379   0.000000   0.000000   0.000000   1.000000   0.000000   0.10821E+03
    12.510020   0.000000   0.000000   0.000000   1.000000   0.000000   0.11090E+03
    12.563664   0.000000   0.000000   0.000000   1.000000   0.000000   0.11361E+03
    12.617311   0.000000   0.000000   0.000000   1.000000   0.000000   0.11636E+03
    12.670961   0.000000   0.000000   0.000000   1.000000   0.000000   0.11918E+03
    12.724614   0.000000   0.000000   0.000000   1.000000   0.000000   0.12206E+03
    12.778271   0.000000   0.000000   0.000000   1.000000   0.000000   0.12497E+03
    12.831931   0.000000   0.000000   0.000000   1.000000   0.000000   0.12789E+03
    12.885594   0.000000   0.000000   0.000000   1.000000   0.000000   0.13076E+03
    12.939260   0.000000   0.000000   0.000000   1.000000   0.000000   0.13360E+03
    12.992929   0.000000   0.000000   0.000000   1.000000   0.000000   0.13645E+03
    13.046600   0.000000   0.000000   0.000000   1.000000   0.000000   0.13926E+03
    13.100273   0.000000   0.000000   0.000000   1.000000   0.000000   0.14194E+03
    13.153948   0.000000   0.000000   0.000000   1.000000   0.000000   0.14437E+03
    13.207624   0.000000   0.000000   0.000000   1.000000   0.000000   0.14649E+03
    13.261300   0.000000   0.000000   0.000000   1.000000   0.000000   0.14817E+03
    13.314973   0.000000   0.000000   0.000000   1.000000   0.000000   0.14923E+03
    13.368642   0.000000   0.000000   0.000000   1.000000   0.000000   0.14937E+03
    13.422303   0.000000   0.000000   0.000000   1.000000   0.000000   0.14818E+03
    13.475952   0.000000   0.000000   0.000000   1.000000   0.000000   0.14497E+03
    13.529583   0.000000   0.000000   0.000000   1.000000   0.000000   0.13845E+03
    13.583185   0.000000   0.000000   0.000000   1.000000   0.000000   0.12637E+03
    13.636741   0.000000   0.000000   0.000000   1.000000   0.000000   0.10426E+03
    13.690225   0.000000   0.000000   0.000000   1.000000   0.000000   0.61649E+02
    13.743584   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    13.796727   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    13.849777   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    13.902834   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    13.955903   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.008985   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.062084   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.115201   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.168341   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.221507   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.274703   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.327935   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.381210   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.434533   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.487915   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.541364   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.594892   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.648510   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.702229   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.756065   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.810029   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.864134   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.918395   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    14.972826   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.027445   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.082269   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.137321   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.192624   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.248209   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.304113   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.360375   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.417040   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.474164   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.531811   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.590058   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.648998   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.708737   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.769399   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.831137   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.894137   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    15.958623   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.024875   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.093240   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.164157   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.238193   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.316040   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.398519   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.486819   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.582618   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.688751   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.811806   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    16.963254   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    17.165996   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
    17.493591   0.000000   0.000000   0.000000   1.000000   0.000000  -0.00000E+00
