# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     0.263886   0.268684   0.731316   0.000000   0.000000   0.000000   0.40842E-02
     0.270312   0.257164   0.742836   0.000000   0.000000   0.000000   0.41072E-02
     0.276833   0.245644   0.754356   0.000000   0.000000   0.000000   0.41297E-02
     0.283455   0.234124   0.765876   0.000000   0.000000   0.000000   0.41516E-02
     0.290178   0.222604   0.777396   0.000000   0.000000   0.000000   0.41730E-02
     0.297008   0.211084   0.788916   0.000000   0.000000   0.000000   0.44420E-02
     0.303946   0.199564   0.800174   0.000263   0.000000   0.000000   0.44760E-02
     0.310998   0.188044   0.811682   0.000274   0.000000   0.000000   0.42557E-02
     0.318165   0.176524   0.823190   0.000286   0.000000   0.000000   0.42768E-02
     0.325453   0.165004   0.834697   0.000300   0.000000   0.000000   0.42976E-02
     0.332865   0.153484   0.846203   0.000313   0.000000   0.000000   0.43184E-02
     0.340406   0.141964   0.857708   0.000328   0.000000   0.000000   0.43389E-02
     0.348081   0.130446   0.869211   0.000344   0.000000   0.000000   0.43587E-02
     0.355893   0.118933   0.880706   0.000361   0.000000   0.000000   0.43753E-02
     0.363849   0.107449   0.892172   0.000379   0.000000   0.000000   0.43768E-02
     0.371953   0.096106   0.903496   0.000398   0.000000   0.000000   0.43103E-02
     0.380211   0.085396   0.914185   0.000419   0.000000   0.000000   0.40205E-02
     0.388629   0.076822   0.922737   0.000441   0.000000   0.000000   0.33981E-02
     0.397213   0.071874   0.927661   0.000464   0.000000   0.000000   0.27482E-02
     0.405971   0.069360   0.930150   0.000490   0.000000   0.000000   0.24232E-02
     0.414909   0.067621   0.931861   0.000518   0.000000   0.000000   0.23535E-02
     0.424035   0.066060   0.933393   0.000547   0.000000   0.000000   0.23679E-02
     0.433357   0.064534   0.934886   0.000580   0.000000   0.000000   0.24025E-02
     0.442883   0.063017   0.936369   0.000614   0.000000   0.000000   0.24423E-02
     0.452623   0.061501   0.937847   0.000652   0.000000   0.000000   0.24845E-02
     0.462586   0.059985   0.939322   0.000693   0.000000   0.000000   0.25285E-02
     0.472784   0.058469   0.940793   0.000738   0.000000   0.000000   0.25743E-02
     0.483226   0.056953   0.942260   0.000787   0.000000   0.000000   0.26220E-02
     0.493926   0.055437   0.943722   0.000841   0.000000   0.000000   0.26719E-02
     0.504896   0.053922   0.945179   0.000899   0.000000   0.000000   0.27243E-02
